staff_id,first_name,last_name,email,phone,position,department,hire_date,salary,building,office_number,status
STF000034,Michelle,Harris,michelle.harris@university.edu,+19847196723,Admissions Officer,Facilities,2024-05-13,55527,Arts Complex,274,Leave
STF000035,Donna,Taylor,donna.taylor@university.edu,+18389183976,HR Manager,Library,2018-06-21,78118,Arts Complex,140,Active
STF000036,Mark,Anderson,mark.anderson@university.edu,+14743898411,Facilities Manager,Library,2004-04-21,87087,Business Building,140,Active
STF000037,Joshua,Martinez,joshua.martinez@university.edu,+12176282319,HR Manager,IT,2014-05-07,40486,Business Building,254,Active
STF000038,Mary,White,mary.white@university.edu,+17869423583,Financial Aid Officer,Facilities,2002-10-28,42669,Science Center,182,Leave
STF000039,Susan,Williams,susan.williams@university.edu,+13558056205,Academic Advisor,Facilities,2008-01-17,50243,Student Union,162,Leave
STF000040,Brian,Martinez,brian.martinez@university.edu,+18616183823,Administrative Assistant,IT,2019-10-16,85065,Business Building,110,Leave
STF000041,Anthony,Jones,anthony.jones@university.edu,+15438795246,Administrative Assistant,Facilities,1991-03-20,77356,Computer Lab,241,Active
STF000042,Michael,Gonzalez,michael.gonzalez@university.edu,+14099412752,IT Support,Facilities,2024-02-08,37650,Main Hall,169,Active
STF000043,Kimberly,Hernandez,kimberly.hernandez@university.edu,+12658572371,Financial Aid Officer,Student Services,1994-03-27,89318,Business Building,300,Active
STF000044,Lisa,Jackson,lisa.jackson@university.edu,+17238782845,Academic Advisor,Facilities,1996-11-22,63537,Dormitory A,206,Leave
STF000045,Betty,Martin,betty.martin@university.edu,+12083062797,Counselor,IT,2001-10-04,71455,Dormitory A,114,Leave
STF000046,Karen,Martin,karen.martin@university.edu,+19683361015,Registrar,Library,1997-12-20,72356,Dormitory A,227,Leave
STF000047,Kevin,King,kevin.king@university.edu,+16914506139,Counselor,IT,2024-10-21,83283,Student Union,263,Leave
STF000048,Christopher,Sanchez,christopher.sanchez@university.edu,+19665182945,Administrative Assistant,Library,2022-06-27,43473,Arts Complex,175,Active
STF000049,Linda,Flores,linda.flores@university.edu,+13449328145,Financial Aid Officer,Student Services,1993-05-15,47668,Business Building,104,Active
STF000050,George,Jones,george.jones@university.edu,+12464913672,Administrative Assistant,IT,2013-11-10,49218,Science Center,172,Leave
