attendance_id,student_id,student_name,section_id,course_id,date,status,notes,recorded_date
ATT000024,STU000279,Ryan Nguyen,SEC000135,PHYS473,2024-09-10,Excused,,2025-05-23 00:00:00
ATT000025,STU000279,Ryan Nguyen,SEC000005,CHEM248,2025-07-07,Late,,2024-01-07 00:00:00
ATT000026,STU000215,Sandra Gonzalez,SEC000170,BUS307,2025-03-19,Absent,Sick,2024-09-27 00:00:00
ATT000027,STU000755,Jeffrey Anderson,SEC000256,CS237,2025-04-16,Present,Family emergency,2025-02-27 00:00:00
ATT000028,STU000539,Jessica Jones,SEC000354,ENG333,2024-11-17,Present,,2024-08-08 00:00:00
ATT000029,STU000097,Jeffrey Garcia,SEC000039,HIST572,2025-09-18,Present,Sick,2025-05-16 00:00:00
ATT000030,STU000090,Jennifer Ramirez,SEC000135,PHYS473,2025-02-19,Excused,,2024-12-31 00:00:00
ATT000031,STU000578,Matthew Ramirez,SEC000110,MUS524,2024-05-27,Late,Sick,2024-11-29 00:00:00
ATT000032,STU000586,George Perez,SEC000007,ENG533,2025-11-22,Late,Sick,2025-06-09 00:00:00
ATT000033,STU000262,Joseph Garcia,SEC000192,CHEM422,2024-10-10,Absent,,2024-06-01 00:00:00
ATT000034,STU000122,Jessica Martin,SEC000016,ECON554,2024-09-26,Present,,2024-08-25 00:00:00
ATT000035,STU000552,Carol Wilson,SEC000196,MUS402,2025-05-18,Present,,2025-05-08 00:00:00
ATT000036,STU000162,Timothy Thomas,SEC000128,MUS358,2025-09-08,Present,,2024-05-05 00:00:00
ATT000037,STU000434,Kevin Anderson,SEC000227,NURS287,2024-04-08,Present,,2025-02-15 00:00:00
ATT000038,STU000849,James Hernandez,SEC000015,CS566,2024-12-25,Excused,,2024-04-07 00:00:00
ATT000039,STU000053,Betty Johnson,SEC000065,MUS336,2025-12-28,Excused,Sick,2024-03-04 00:00:00
ATT000040,STU000921,Ryan Young,SEC000089,BIO480,2024-10-16,Present,,2025-07-31 00:00:00
ATT000041,STU000106,David King,SEC000225,ENG336,2024-07-12,Present,Sick,2025-07-03 00:00:00
ATT000042,STU000536,Anthony Clark,SEC000229,BIO561,2024-01-03,Present,,2024-08-01 00:00:00
ATT000043,STU000125,Steven Wilson,SEC000203,CS267,2024-03-26,Present,Family emergency,2024-03-19 00:00:00
ATT000044,STU000502,Andrew Hernandez,SEC000310,ENG247,2025-03-10,Absent,Family emergency,2024-11-12 00:00:00
ATT000045,STU000757,Mark Wright,SEC000340,NURS505,2025-12-18,Late,,2024-05-01 00:00:00
ATT000046,STU000522,Richard Lewis,SEC000010,ENG314,2025-09-19,Present,Sick,2024-05-12 00:00:00
ATT000047,STU000309,Kevin Wilson,SEC000224,ECON577,2024-07-01,Late,,2025-05-11 00:00:00
ATT000048,STU000425,Dorothy Sanchez,SEC000276,CS384,2025-11-19,Present,Family emergency,2025-02-25 00:00:00
ATT000049,STU000529,Laura Jackson,SEC000200,MUS358,2024-05-08,Present,,2024-02-28 00:00:00
ATT000050,STU000578,Matthew Ramirez,SEC000330,CS198,2025-10-07,Late,Family emergency,2024-12-30 00:00:00
ATT000051,STU000609,Christopher Rodriguez,SEC000079,PSYC342,2024-02-14,Absent,Family emergency,2024-03-07 00:00:00
ATT000052,STU000906,Lisa Jackson,SEC000046,BIO410,2025-03-04,Excused,,2024-08-27 00:00:00
ATT000053,STU000436,David Wright,SEC000156,ENG379,2025-01-10,Absent,,2024-11-28 00:00:00
ATT000054,STU000240,William Miller,SEC000119,NURS505,2025-07-27,Late,,2024-11-24 00:00:00
ATT000055,STU000571,John Perez,SEC000346,NURS389,2025-04-20,Late,,2024-09-05 00:00:00
ATT000056,STU000482,Laura Harris,SEC000230,MUS381,2025-08-15,Present,Sick,2024-07-05 00:00:00
ATT000057,STU000892,Mary Thomas,SEC000314,PSYC352,2024-01-24,Absent,,2025-01-15 00:00:00
ATT000058,STU000209,William Brown,SEC000010,ENG314,2024-03-19,Present,,2025-03-12 00:00:00
ATT000059,STU000719,Joseph Robinson,SEC000213,PSYC215,2024-11-02,Present,Family emergency,2025-01-12 00:00:00
ATT000060,STU000182,David Lewis,SEC000204,MATH497,2025-08-08,Present,,2025-12-08 00:00:00
ATT000061,STU000463,William Wright,SEC000127,CHEM493,2024-08-07,Present,,2024-07-03 00:00:00
ATT000062,STU000967,Linda Scott,SEC000223,MUS101,2025-04-28,Late,Sick,2024-09-08 00:00:00
ATT000063,STU000155,Helen Gonzalez,SEC000272,MUS567,2024-04-24,Present,,2024-03-17 00:00:00
ATT000064,STU000424,Edward White,SEC000051,ECON554,2024-04-06,Absent,Sick,2025-12-22 00:00:00
ATT000065,STU000357,Karen Johnson,SEC000251,CS330,2024-10-02,Excused,Family emergency,2025-10-07 00:00:00
ATT000066,STU000805,Lisa Wright,SEC000328,ECON577,2025-10-29,Present,Family emergency,2024-12-04 00:00:00
ATT000067,STU000604,Joshua Thomas,SEC000278,PHYS347,2024-01-19,Late,Family emergency,2024-01-07 00:00:00
ATT000068,STU000352,Christopher Clark,SEC000268,HIST395,2024-04-15,Present,,2024-10-10 00:00:00
ATT000069,STU000411,Christopher Torres,SEC000238,MUS507,2024-01-12,Present,,2024-09-16 00:00:00
ATT000070,STU000166,John Sanchez,SEC000124,MATH255,2025-10-18,Present,,2025-10-22 00:00:00
ATT000071,STU000091,Michelle Ramirez,SEC000245,HIST522,2024-01-07,Absent,,2024-01-11 00:00:00
ATT000072,STU000688,Kimberly Jackson,SEC000118,MUS520,2025-11-03,Present,,2025-02-23 00:00:00
ATT000073,STU000827,Sarah Lopez,SEC000399,ENG336,2025-01-23,Present,Sick,2025-01-16 00:00:00
ATT000074,STU000472,Laura Flores,SEC000179,MUS512,2025-03-27,Absent,Sick,2024-05-18 00:00:00
ATT000075,STU000694,Sharon Ramirez,SEC000315,ART593,2024-02-29,Late,,2024-03-04 00:00:00
ATT000076,STU000801,Edward Gonzalez,SEC000142,CS196,2025-01-27,Absent,Family emergency,2025-11-04 00:00:00
ATT000077,STU000068,Jeffrey Scott,SEC000284,CS293,2024-07-08,Absent,,2025-10-17 00:00:00
ATT000078,STU000447,Paul Thompson,SEC000219,ART182,2024-10-12,Present,Family emergency,2024-03-13 00:00:00
ATT000079,STU000547,Sarah Torres,SEC000016,ECON554,2025-05-20,Absent,,2025-04-19 00:00:00
ATT000080,STU000928,Donna Flores,SEC000247,ECON545,2025-03-16,Present,Family emergency,2024-08-04 00:00:00
ATT000081,STU000573,Thomas Williams,SEC000336,CHEM241,2024-09-16,Present,Sick,2024-08-28 00:00:00
ATT000082,STU000088,George Walker,SEC000081,MUS142,2025-03-05,Absent,Family emergency,2025-06-28 00:00:00
ATT000083,STU000018,Deborah Scott,SEC000253,EDUC545,2024-08-10,Late,,2024-03-23 00:00:00
ATT000084,STU000254,Thomas Thomas,SEC000228,ART482,2024-05-01,Present,,2025-04-12 00:00:00
ATT000085,STU000872,Jessica Jackson,SEC000169,BUS433,2025-01-12,Present,,2024-10-15 00:00:00
ATT000086,STU000584,Betty King,SEC000213,PSYC215,2025-11-03,Present,Sick,2024-02-22 00:00:00
ATT000087,STU000213,Ryan Allen,SEC000354,ENG333,2024-07-07,Present,,2025-03-14 00:00:00
ATT000088,STU000489,Matthew Ramirez,SEC000286,HIST251,2025-11-26,Present,Family emergency,2025-05-23 00:00:00
ATT000089,STU000093,Donna King,SEC000105,BIO410,2025-03-10,Excused,Family emergency,2025-12-24 00:00:00
ATT000090,STU000122,Jessica Martin,SEC000016,ECON554,2024-10-12,Absent,Sick,2025-07-18 00:00:00
ATT000091,STU000172,Michael Rodriguez,SEC000219,ART182,2025-02-09,Present,Sick,2024-11-06 00:00:00
ATT000092,STU000276,Deborah Miller,SEC000288,ECON545,2024-11-11,Present,,2024-09-22 00:00:00
ATT000093,STU000980,Sarah Lewis,SEC000140,EDUC545,2025-04-01,Absent,,2024-09-11 00:00:00
ATT000094,STU000495,Edward Wilson,SEC000334,PHYS424,2025-07-01,Late,,2025-06-21 00:00:00
ATT000095,STU000444,Anthony Lee,SEC000123,NURS389,2025-09-28,Present,,2025-01-16 00:00:00
ATT000096,STU000501,Brian Davis,SEC000157,HIST304,2024-10-13,Present,,2024-07-27 00:00:00
ATT000097,STU000704,Christopher Torres,SEC000359,ENG190,2025-07-20,Excused,Family emergency,2024-11-14 00:00:00
ATT000098,STU000483,Edward Martinez,SEC000298,EDUC397,2024-01-06,Absent,Sick,2024-02-13 00:00:00
ATT000099,STU000058,Sandra Jones,SEC000145,BUS362,2025-09-27,Absent,Family emergency,2025-11-18 00:00:00
ATT000100,STU000841,Jessica Hernandez,SEC000206,HIST522,2025-02-17,Present,Sick,2025-05-05 00:00:00
ATT000101,STU000611,Linda White,SEC000114,PSYC463,2025-10-16,Present,,2025-12-03 00:00:00
ATT000102,STU000513,Patricia Thompson,SEC000184,EDUC434,2025-02-01,Present,,2025-05-31 00:00:00
ATT000103,STU000640,Michael Nguyen,SEC000294,ENG314,2025-11-20,Present,,2024-12-18 00:00:00
ATT000104,STU000996,Nancy Anderson,SEC000213,PSYC215,2025-11-04,Present,,2024-12-03 00:00:00
ATT000105,STU000113,David Robinson,SEC000064,CS370,2025-03-13,Excused,,2024-03-31 00:00:00
ATT000106,STU000173,Linda Williams,SEC000077,CHEM290,2024-07-26,Excused,,2025-09-07 00:00:00
ATT000107,STU000980,Sarah Lewis,SEC000292,MUS142,2024-06-20,Present,,2024-06-19 00:00:00
ATT000108,STU000249,George Lewis,SEC000290,NURS409,2025-09-17,Present,Sick,2024-01-24 00:00:00
ATT000109,STU000058,Sandra Jones,SEC000174,BUS362,2025-09-28,Absent,,2024-11-30 00:00:00
ATT000110,STU000378,Ronald Perez,SEC000334,PHYS424,2024-05-31,Absent,,2024-09-17 00:00:00
ATT000111,STU000821,Jennifer Torres,SEC000350,ENG248,2024-02-17,Late,,2024-12-24 00:00:00
ATT000112,STU000537,Susan Johnson,SEC000187,NURS366,2025-01-13,Present,Family emergency,2024-04-12 00:00:00
ATT000113,STU000280,John Torres,SEC000260,CHEM148,2024-04-18,Late,,2024-01-14 00:00:00
ATT000114,STU000184,Elizabeth Brown,SEC000156,ENG379,2024-03-20,Present,Family emergency,2025-10-13 00:00:00
ATT000115,STU000513,Patricia Thompson,SEC000024,ENG379,2024-12-03,Present,Sick,2024-12-12 00:00:00
ATT000116,STU000180,Kevin Torres,SEC000275,BUS444,2024-05-27,Present,Sick,2025-08-31 00:00:00
ATT000117,STU000669,Matthew Miller,SEC000008,CHEM248,2025-04-20,Present,Sick,2025-11-28 00:00:00
ATT000118,STU000055,Sandra Martin,SEC000077,CHEM290,2025-05-06,Present,Family emergency,2025-02-02 00:00:00
ATT000119,STU000433,Edward Davis,SEC000369,MUS512,2025-08-15,Present,,2024-03-17 00:00:00
ATT000120,STU000014,Helen Scott,SEC000218,ENG238,2024-12-09,Present,Family emergency,2025-05-06 00:00:00
ATT000121,STU000818,Helen Young,SEC000396,CHEM493,2025-05-08,Absent,,2025-04-14 00:00:00
ATT000122,STU000640,Michael Nguyen,SEC000208,CS149,2025-05-21,Present,Family emergency,2025-04-13 00:00:00
ATT000123,STU000818,Helen Young,SEC000396,CHEM493,2024-12-27,Present,Sick,2025-09-09 00:00:00
ATT000124,STU000821,Jennifer Torres,SEC000258,HIST249,2024-02-29,Late,Sick,2025-10-29 00:00:00
ATT000125,STU000621,Timothy Davis,SEC000160,HIST307,2025-09-16,Present,Family emergency,2024-08-08 00:00:00
ATT000126,STU000122,Jessica Martin,SEC000016,ECON554,2024-06-22,Absent,,2024-10-28 00:00:00
ATT000127,STU000677,Sharon Clark,SEC000303,PSYC215,2024-10-24,Present,,2025-09-13 00:00:00
ATT000128,STU000524,Donna Wright,SEC000029,PHYS266,2024-06-10,Absent,Sick,2025-09-28 00:00:00
ATT000129,STU000103,Edward Flores,SEC000294,ENG314,2025-07-30,Present,Family emergency,2025-07-01 00:00:00
ATT000130,STU000784,Betty Lopez,SEC000071,BIO111,2024-09-04,Excused,Sick,2024-06-21 00:00:00
ATT000131,STU000662,David Clark,SEC000348,PSYC342,2024-04-03,Late,,2025-02-09 00:00:00
ATT000132,STU000093,Donna King,SEC000396,CHEM493,2025-04-27,Late,,2024-10-29 00:00:00
ATT000133,STU000062,Sharon Wilson,SEC000247,ECON545,2024-09-10,Absent,,2025-04-11 00:00:00
ATT000134,STU000576,Jeffrey Lee,SEC000226,BUS526,2025-11-14,Present,,2025-01-12 00:00:00
ATT000135,STU000386,Jessica Davis,SEC000075,NURS389,2025-02-19,Present,Family emergency,2024-05-17 00:00:00
ATT000136,STU000980,Sarah Lewis,SEC000251,CS330,2025-08-24,Present,Family emergency,2025-08-25 00:00:00
ATT000137,STU000680,Joshua Jackson,SEC000394,ECON255,2024-09-15,Present,Sick,2025-05-20 00:00:00
ATT000138,STU000925,Daniel Torres,SEC000334,PHYS424,2025-07-15,Excused,,2024-04-21 00:00:00
ATT000139,STU000494,Elizabeth Hill,SEC000140,EDUC545,2024-07-12,Excused,Sick,2024-03-13 00:00:00
ATT000140,STU000556,Andrew Ramirez,SEC000181,MUS278,2025-12-16,Excused,,2024-08-12 00:00:00
ATT000141,STU000260,Michael Taylor,SEC000226,BUS526,2025-11-06,Present,Family emergency,2024-04-15 00:00:00
ATT000142,STU000920,Sarah Jackson,SEC000126,MUS402,2024-01-07,Late,,2024-10-06 00:00:00
ATT000143,STU000653,Lisa Lopez,SEC000384,ECON360,2024-04-13,Late,Family emergency,2024-02-19 00:00:00
ATT000144,STU000213,Ryan Allen,SEC000382,PSYC352,2025-12-31,Excused,,2024-12-20 00:00:00
ATT000145,STU000936,John Johnson,SEC000273,CS566,2025-03-20,Absent,,2024-07-04 00:00:00
ATT000146,STU000251,Donna Gonzalez,SEC000388,ECON508,2025-05-17,Present,,2024-03-17 00:00:00
ATT000147,STU000615,Jason Hill,SEC000200,MUS358,2025-10-17,Present,,2025-08-15 00:00:00
ATT000148,STU000396,Karen Lee,SEC000150,EDUC403,2024-12-05,Absent,,2024-03-05 00:00:00
ATT000149,STU000599,Robert Williams,SEC000198,CS237,2024-02-21,Present,Family emergency,2024-03-04 00:00:00
ATT000150,STU000838,Jason Jones,SEC000297,PHYS438,2024-04-07,Present,Family emergency,2025-11-18 00:00:00
ATT000151,STU000561,Jacob Garcia,SEC000367,BIO489,2024-08-12,Present,,2025-05-29 00:00:00
ATT000152,STU000451,Jeffrey Scott,SEC000228,ART482,2025-11-01,Present,Sick,2024-08-10 00:00:00
ATT000153,STU000789,Nancy Gonzalez,SEC000234,PHYS347,2025-12-02,Present,Family emergency,2025-02-14 00:00:00
ATT000154,STU000980,Sarah Lewis,SEC000326,BUS526,2024-05-27,Present,Family emergency,2025-06-06 00:00:00
ATT000155,STU000917,Sarah Wright,SEC000392,BIO111,2025-09-06,Present,,2025-05-19 00:00:00
ATT000156,STU000554,Donald Rodriguez,SEC000064,CS370,2024-11-26,Absent,,2025-12-20 00:00:00
ATT000157,STU000603,William King,SEC000264,ENG148,2024-12-12,Present,,2025-03-23 00:00:00
ATT000158,STU000952,Richard Johnson,SEC000251,CS330,2024-05-12,Present,Sick,2024-09-12 00:00:00
ATT000159,STU000942,Laura Clark,SEC000214,MUS103,2025-01-15,Present,,2025-02-26 00:00:00
ATT000160,STU000279,Ryan Nguyen,SEC000239,PSYC455,2024-03-22,Present,Sick,2025-06-07 00:00:00
ATT000161,STU000468,Steven Moore,SEC000248,ECON412,2025-09-09,Late,Family emergency,2025-02-04 00:00:00
ATT000162,STU000681,Betty Anderson,SEC000241,PSYC215,2025-06-27,Present,,2024-07-25 00:00:00
ATT000163,STU000063,Barbara Taylor,SEC000331,CS428,2024-10-04,Present,,2024-07-04 00:00:00
ATT000164,STU000092,Lisa Harris,SEC000034,ECON262,2025-05-23,Absent,Family emergency,2024-05-01 00:00:00
ATT000165,STU000674,Anthony Allen,SEC000034,ECON262,2025-07-31,Excused,Family emergency,2024-08-04 00:00:00
ATT000166,STU000510,Helen Rodriguez,SEC000159,CHEM329,2024-01-21,Late,Sick,2024-09-28 00:00:00
ATT000167,STU000486,Ronald Smith,SEC000046,BIO410,2024-02-29,Present,,2025-08-06 00:00:00
ATT000168,STU000189,Helen Miller,SEC000389,NURS389,2025-04-30,Present,Sick,2024-12-10 00:00:00
ATT000169,STU000791,Susan Young,SEC000013,BUS287,2025-06-28,Present,Family emergency,2025-11-04 00:00:00
ATT000170,STU000033,Dorothy White,SEC000298,EDUC397,2025-12-09,Present,Family emergency,2024-11-13 00:00:00
ATT000171,STU000324,Sarah Taylor,SEC000083,BUS193,2025-07-28,Present,,2025-12-25 00:00:00
ATT000172,STU000547,Sarah Torres,SEC000144,CHEM422,2024-05-10,Absent,,2024-03-14 00:00:00
ATT000173,STU000434,Kevin Anderson,SEC000251,CS330,2024-07-07,Excused,,2024-07-17 00:00:00
ATT000174,STU000996,Nancy Anderson,SEC000213,PSYC215,2024-08-12,Excused,,2024-12-31 00:00:00
ATT000175,STU000141,Andrew Williams,SEC000380,CHEM347,2024-05-15,Present,,2025-03-13 00:00:00
ATT000176,STU000178,Sharon Martinez,SEC000099,CS267,2024-09-25,Absent,Family emergency,2024-04-09 00:00:00
ATT000177,STU000577,Helen Hernandez,SEC000248,ECON412,2025-03-02,Present,Sick,2024-08-26 00:00:00
ATT000178,STU000016,Helen Taylor,SEC000053,CHEM531,2025-08-30,Excused,,2025-11-30 00:00:00
ATT000179,STU000540,Patricia Williams,SEC000112,CHEM329,2025-02-16,Present,Sick,2025-06-14 00:00:00
ATT000180,STU000666,George Wilson,SEC000118,MUS520,2024-05-31,Present,,2025-10-19 00:00:00
ATT000181,STU000252,John Walker,SEC000176,CS508,2024-06-09,Present,,2024-04-07 00:00:00
ATT000182,STU000539,Jessica Jones,SEC000354,ENG333,2024-05-01,Absent,,2024-10-16 00:00:00
ATT000183,STU000838,Jason Jones,SEC000264,ENG148,2025-05-06,Present,Family emergency,2024-06-02 00:00:00
ATT000184,STU000113,David Robinson,SEC000383,NURS155,2025-11-28,Absent,,2025-06-23 00:00:00
ATT000185,STU000587,Donna Jackson,SEC000354,ENG333,2024-08-27,Absent,Sick,2024-11-21 00:00:00
ATT000186,STU000822,Jessica Martin,SEC000102,ECON404,2025-05-31,Late,Sick,2024-11-11 00:00:00
ATT000187,STU000748,Barbara Harris,SEC000126,MUS402,2024-06-18,Present,,2024-05-22 00:00:00
ATT000188,STU000364,Ronald Miller,SEC000332,PHYS438,2025-08-02,Late,,2025-02-25 00:00:00
ATT000189,STU000825,Mary Young,SEC000011,PHYS456,2024-12-18,Absent,Family emergency,2025-12-22 00:00:00
ATT000190,STU000576,Jeffrey Lee,SEC000226,BUS526,2025-03-31,Present,,2025-02-01 00:00:00
ATT000191,STU000103,Edward Flores,SEC000152,PHYS484,2025-04-12,Late,,2024-09-23 00:00:00
ATT000192,STU000041,Kenneth Hill,SEC000018,PSYC569,2024-04-26,Present,Sick,2025-06-01 00:00:00
ATT000193,STU000187,Lisa Torres,SEC000341,ART238,2024-04-16,Present,,2025-02-14 00:00:00
ATT000194,STU000144,John Davis,SEC000063,ECON255,2025-10-29,Excused,Family emergency,2024-12-09 00:00:00
ATT000195,STU000691,Betty Anderson,SEC000089,BIO480,2025-03-03,Present,,2024-08-06 00:00:00
ATT000196,STU000152,Ronald Clark,SEC000141,ECON195,2024-03-07,Late,,2024-08-23 00:00:00
ATT000197,STU000706,James Anderson,SEC000339,PHYS261,2024-08-26,Absent,,2024-06-24 00:00:00
ATT000198,STU000085,Timothy Hill,SEC000169,BUS433,2025-10-08,Absent,,2024-10-17 00:00:00
ATT000199,STU000210,Thomas Lee,SEC000081,MUS142,2025-10-05,Absent,,2025-08-06 00:00:00
ATT000200,STU000920,Sarah Jackson,SEC000244,PSYC373,2025-02-17,Present,Sick,2025-05-04 00:00:00
ATT000201,STU000520,Jessica Lee,SEC000058,CHEM531,2025-10-14,Present,,2025-04-08 00:00:00
ATT000202,STU000324,Sarah Taylor,SEC000083,BUS193,2024-06-24,Present,,2025-10-23 00:00:00
ATT000203,STU000065,Kimberly Lee,SEC000099,CS267,2024-04-24,Excused,,2025-09-01 00:00:00
ATT000204,STU000968,Jessica Rodriguez,SEC000107,ENG247,2025-07-27,Late,Family emergency,2025-04-04 00:00:00
ATT000205,STU000659,Barbara Moore,SEC000352,HIST249,2025-07-07,Late,Family emergency,2024-04-20 00:00:00
ATT000206,STU000339,Ryan Young,SEC000039,HIST572,2025-02-03,Present,,2024-08-28 00:00:00
ATT000207,STU000106,David King,SEC000215,ENG533,2024-07-12,Late,Sick,2024-06-24 00:00:00
ATT000208,STU000741,Barbara Gonzalez,SEC000396,CHEM493,2025-01-25,Absent,Sick,2024-05-01 00:00:00
ATT000209,STU000227,Andrew Smith,SEC000309,CS482,2025-12-20,Present,,2025-08-31 00:00:00
ATT000210,STU000186,Jennifer Thompson,SEC000192,CHEM422,2025-11-24,Present,,2024-01-16 00:00:00
ATT000211,STU000763,William Harris,SEC000253,EDUC545,2025-08-12,Present,Family emergency,2024-08-01 00:00:00
ATT000212,STU000647,David King,SEC000165,ECON412,2024-10-14,Excused,,2024-07-10 00:00:00
ATT000213,STU000841,Jessica Hernandez,SEC000206,HIST522,2025-11-25,Late,Family emergency,2025-02-24 00:00:00
ATT000214,STU000871,Laura Young,SEC000117,ENG333,2024-04-18,Present,,2024-12-07 00:00:00
ATT000215,STU000951,Kenneth Robinson,SEC000293,EDUC384,2025-05-23,Present,Family emergency,2025-01-21 00:00:00
ATT000216,STU000045,Joshua Williams,SEC000048,MATH455,2025-01-28,Present,Family emergency,2025-06-25 00:00:00
ATT000217,STU000872,Jessica Jackson,SEC000148,PHYS347,2025-07-05,Present,,2025-10-10 00:00:00
ATT000218,STU000531,William Walker,SEC000161,PSYC215,2024-01-23,Absent,,2025-04-23 00:00:00
ATT000219,STU000332,Mary Young,SEC000175,HIST307,2025-09-20,Absent,,2025-08-23 00:00:00
ATT000220,STU000928,Donna Flores,SEC000094,MUS567,2024-06-09,Present,,2025-09-27 00:00:00
ATT000221,STU000963,Nancy Taylor,SEC000072,HIST123,2025-12-07,Late,Family emergency,2025-07-24 00:00:00
ATT000222,STU000970,Thomas Flores,SEC000225,ENG336,2025-06-24,Absent,,2025-07-01 00:00:00
ATT000223,STU000600,Linda Williams,SEC000352,HIST249,2025-08-27,Present,Sick,2024-08-28 00:00:00
ATT000224,STU000220,Jason Lee,SEC000261,MATH497,2025-10-01,Present,Family emergency,2025-08-09 00:00:00
ATT000225,STU000908,Barbara Gonzalez,SEC000075,NURS389,2024-12-17,Late,Family emergency,2024-03-09 00:00:00
ATT000226,STU000603,William King,SEC000184,EDUC434,2024-03-14,Excused,,2024-10-26 00:00:00
ATT000227,STU000250,Lisa Lee,SEC000339,PHYS261,2024-05-13,Excused,,2024-10-10 00:00:00
ATT000228,STU000322,Sarah Wright,SEC000246,EDUC334,2025-09-24,Excused,Family emergency,2025-06-15 00:00:00
ATT000229,STU000936,John Johnson,SEC000288,ECON545,2024-03-28,Late,,2024-10-26 00:00:00
ATT000230,STU000769,Kevin Perez,SEC000073,NURS238,2024-06-22,Excused,Family emergency,2024-10-23 00:00:00
ATT000231,STU000400,Kimberly Scott,SEC000153,ENG247,2024-06-19,Present,Sick,2024-05-28 00:00:00
ATT000232,STU000295,Sandra Lewis,SEC000241,PSYC215,2024-10-16,Excused,,2024-12-28 00:00:00
ATT000233,STU000608,Sharon Smith,SEC000262,EDUC384,2025-05-08,Present,,2024-10-02 00:00:00
ATT000234,STU000162,Timothy Thomas,SEC000214,MUS103,2025-01-23,Present,Sick,2025-06-16 00:00:00
ATT000235,STU000611,Linda White,SEC000030,PSYC569,2025-08-23,Present,,2024-11-13 00:00:00
ATT000236,STU000213,Ryan Allen,SEC000382,PSYC352,2024-06-10,Absent,Sick,2025-06-02 00:00:00
ATT000237,STU000416,Kenneth Miller,SEC000301,MUS106,2025-08-08,Present,,2024-08-18 00:00:00
ATT000238,STU000962,Donna Torres,SEC000090,EDUC545,2025-06-18,Present,,2024-11-08 00:00:00
ATT000239,STU000937,Kenneth Rodriguez,SEC000166,ECON323,2024-06-15,Present,,2024-06-29 00:00:00
ATT000240,STU000536,Anthony Clark,SEC000229,BIO561,2024-09-30,Present,Sick,2025-06-28 00:00:00
ATT000241,STU000734,Kimberly White,SEC000345,PHYS438,2024-04-01,Present,,2024-07-05 00:00:00
ATT000242,STU000109,Anthony Sanchez,SEC000235,ENG247,2025-08-13,Present,,2024-08-04 00:00:00
ATT000243,STU000628,Helen King,SEC000242,ECON323,2025-08-16,Present,Sick,2025-09-06 00:00:00
ATT000244,STU000569,Christopher Hill,SEC000032,BIO111,2025-07-04,Present,Family emergency,2025-07-25 00:00:00
ATT000245,STU000282,Ruth Sanchez,SEC000031,NURS185,2025-06-30,Excused,,2024-12-25 00:00:00
ATT000246,STU000325,Kenneth Martinez,SEC000038,ENG430,2025-05-27,Excused,Sick,2024-09-30 00:00:00
ATT000247,STU000580,Joseph Flores,SEC000133,HIST395,2025-10-04,Late,Family emergency,2024-01-24 00:00:00
