student_id,first_name,last_name,email,phone,date_of_birth,enrollment_date,major,year_level,gpa,status,address,city,state,zip_code,emergency_contact,emergency_phone
STU000047,Mark,Brown,mark.brown@university.edu,+13927306927,2001-12-25,2025-08-03,Philosophy,Freshman,2.41,Inactive,2246 Pine Dr,Georgetown,CA,13783,Kevin Hill,+14459263594
STU000048,Karen,Scott,karen.scott@university.edu,+12147657684,1996-01-17,2022-07-09,Psychology,Senior,3.89,Graduated,2622 Elm Blvd,Bristol,PA,45838,Mark Walker,+16834498483
STU000049,Ruth,Martinez,ruth.martinez@university.edu,+15923959327,2003-05-15,2021-07-13,Engineering,Junior,3.55,Active,5668 Maple Blvd,Springfield,TX,49132,Nancy Nguyen,+17938759022
STU000050,Karen,Martinez,karen.martinez@university.edu,+16577518935,1998-11-14,2023-09-23,Education,Graduate,2.75,Active,3190 Oak Dr,Madison,OH,63841,John Lee,+19626847246
STU000051,Anthony,Martinez,anthony.martinez@university.edu,+17072373068,2000-08-19,2023-09-21,Psychology,Senior,2.2,Active,351 Oak Dr,Madison,CA,71537,Jason Taylor,+15468387512
STU000052,Laura,Garcia,laura.garcia@university.edu,+15368909742,1999-04-06,2023-07-21,Sociology,Graduate,2.07,Active,3946 Pine Ave,Springfield,FL,22903,Ronald Miller,+16543705906
STU000053,Betty,Johnson,betty.johnson@university.edu,+12475321919,1998-04-16,2024-01-08,Political Science,Senior,2.29,Inactive,6851 Maple Ave,Madison,NY,20350,Michelle Harris,+18348994945
STU000054,Donna,Nguyen,donna.nguyen@university.edu,+13464378555,2002-02-25,2022-11-06,Philosophy,Junior,3.33,Active,4812 Maple Ave,Springfield,FL,55293,Sharon Martin,+18546345097
STU000055,Sandra,Martin,sandra.martin@university.edu,+14035938916,1996-03-12,2022-08-29,Art,Graduate,2.72,Active,4937 Main Dr,Franklin,CA,84177,Karen Brown,+18209639138
STU000056,Nancy,Jackson,nancy.jackson@university.edu,+19944356772,1997-06-16,2022-02-17,Marketing,Junior,3.36,Graduated,2340 Main St,Franklin,OH,67779,John Nguyen,+15739493153
STU000057,Jennifer,Jackson,jennifer.jackson@university.edu,+15349657807,1996-12-20,2022-04-02,Biology,Graduate,3.75,Active,8797 Maple Blvd,Madison,TX,73156,Lisa Jackson,+19645462886
STU000058,Sandra,Jones,sandra.jones@university.edu,+13449724696,2004-08-24,2024-06-15,Education,Junior,2.18,Active,328 Pine St,Georgetown,TX,98188,Deborah Taylor,+17985907086
STU000059,Michael,Anderson,michael.anderson@university.edu,+16822256374,2005-04-06,2022-06-25,Engineering,Senior,3.82,Active,6789 Main Ave,Springfield,CA,49893,Donna Davis,+12994409807
STU000060,William,Harris,william.harris@university.edu,+16645799850,1999-09-13,2021-09-24,Music,Freshman,3.67,Inactive,6786 Pine St,Franklin,NY,68115,Donald Thomas,+15713017018
STU000061,Andrew,Thompson,andrew.thompson@university.edu,+12626075520,1997-02-16,2021-05-15,Philosophy,Freshman,3.33,Graduated,9883 Main St,Franklin,NY,26505,Jason Torres,+14102704394
STU000062,Sharon,Wilson,sharon.wilson@university.edu,+14385363417,2003-11-05,2020-01-12,Chemistry,Sophomore,3.98,Inactive,4206 Oak St,Springfield,NY,11947,Matthew Thomas,+18025311258
STU000063,Barbara,Taylor,barbara.taylor@university.edu,+12533297897,2000-11-24,2021-04-10,Engineering,Senior,2.9,Active,8508 Maple St,Georgetown,IL,39038,Michelle Williams,+19448749543
STU000064,Karen,Robinson,karen.robinson@university.edu,+18582311996,2000-05-15,2024-07-03,Music,Freshman,2.98,Active,1304 Main Blvd,Bristol,NY,18609,William Moore,+18398489984
STU000065,Kimberly,Lee,kimberly.lee@university.edu,+15908119692,1998-04-22,2025-02-01,Nursing,Graduate,2.86,Graduated,1974 Maple Ave,Georgetown,FL,39949,Mark Perez,+16646087815
STU000066,Timothy,Miller,timothy.miller@university.edu,+15206376120,2002-06-17,2022-11-10,Political Science,Sophomore,3.37,Active,1199 Main St,Springfield,FL,22656,Deborah White,+13337691982
STU000067,Sharon,Scott,sharon.scott@university.edu,+17755373002,1999-08-10,2023-12-19,Music,Freshman,3.94,Inactive,5219 Pine St,Bristol,IL,37884,Elizabeth Walker,+14293106736
STU000068,Jeffrey,Scott,jeffrey.scott@university.edu,+15763175564,2001-06-09,2022-07-15,Music,Graduate,3.95,Inactive,9221 Main Blvd,Springfield,NY,45818,George Martin,+15475591100
STU000069,Barbara,Martinez,barbara.martinez@university.edu,+17798737566,1995-10-13,2021-08-04,Computer Science,Freshman,3.49,Active,6263 Elm Dr,Franklin,NY,58503,Karen Lee,+19957812391
STU000070,Ryan,Brown,ryan.brown@university.edu,+13593611815,2002-07-23,2020-11-30,Chemistry,Senior,3.32,Active,7342 Elm Blvd,Madison,OH,77154,Linda Thompson,+16403135640
STU000071,Sarah,Nguyen,sarah.nguyen@university.edu,+16987396053,1995-07-06,2022-06-22,Art,Graduate,2.11,Active,5038 Oak Ave,Franklin,TX,53007,Linda Smith,+17099648055
STU000072,Barbara,Rodriguez,barbara.rodriguez@university.edu,+15897454770,2000-08-11,2023-12-21,Engineering,Senior,3.72,Active,7247 Main Dr,Springfield,OH,51033,Joshua Ramirez,+17876147843
STU000073,Christopher,Davis,christopher.davis@university.edu,+16142216321,1996-12-04,2025-02-27,Political Science,Freshman,2.87,Active,4086 Elm Dr,Bristol,CA,61873,Karen Martin,+19635474630
STU000074,Nancy,Hernandez,nancy.hernandez@university.edu,+12787222868,2000-12-13,2025-09-19,English Literature,Junior,2.7,Graduated,2519 Oak St,Madison,TX,35856,Barbara Hill,+13569782234
STU000075,Barbara,Young,barbara.young@university.edu,+16759728354,2002-08-21,2023-08-16,Economics,Sophomore,2.88,Active,7345 Pine Blvd,Bristol,CA,56129,Paul Jones,+15176728404
STU000076,John,Brown,john.brown@university.edu,+15774932257,2002-03-25,2021-01-04,Marketing,Graduate,3.01,Active,9608 Maple St,Georgetown,OH,84928,Laura Gonzalez,+15298198792
STU000077,Paul,Martinez,paul.martinez@university.edu,+12636612695,2004-02-04,2023-11-07,Engineering,Graduate,3.29,Active,4159 Elm Dr,Bristol,IL,89928,David White,+15814897347
STU000078,Mark,Perez,mark.perez@university.edu,+18958121857,2003-11-07,2023-10-02,Engineering,Junior,2.19,Graduated,6433 Pine Blvd,Bristol,OH,29709,Nancy Garcia,+17968793317
STU000079,Jacob,Thompson,jacob.thompson@university.edu,+15178717421,1996-06-12,2020-12-13,Physics,Graduate,2.75,Active,2193 Maple St,Georgetown,IL,57425,Mary White,+15163844509
STU000080,Nancy,Young,nancy.young@university.edu,+13964313253,1996-09-26,2020-11-12,Physics,Freshman,3.02,Inactive,8726 Main Blvd,Bristol,NY,88282,Anthony Martinez,+13663853712
STU000081,Timothy,Lewis,timothy.lewis@university.edu,+12446206968,2002-08-02,2022-08-30,Philosophy,Graduate,2.57,Graduated,7455 Oak Ave,Franklin,OH,71474,Betty Gonzalez,+15768948218
STU000082,Sandra,Jackson,sandra.jackson@university.edu,+19965919239,2000-11-30,2024-09-10,Mathematics,Sophomore,3.6,Active,4196 Main Dr,Franklin,IL,23446,Kimberly King,+13274912374
STU000083,Ronald,Hernandez,ronald.hernandez@university.edu,+14796609410,1996-08-26,2024-11-26,Engineering,Sophomore,3.63,Active,536 Elm St,Georgetown,IL,59015,Jessica Harris,+12835834678
STU000084,Mary,Lee,mary.lee@university.edu,+13019316493,2003-11-16,2021-08-21,Biology,Freshman,2.57,Active,2373 Elm Dr,Bristol,CA,20384,Mary Taylor,+14203539991
STU000085,Timothy,Hill,timothy.hill@university.edu,+17406332821,2003-09-15,2023-03-26,History,Junior,2.24,Active,6978 Maple Dr,Springfield,CA,75513,Kenneth Wright,+12168479443
STU000086,Joshua,Thomas,joshua.thomas@university.edu,+19353475772,1999-10-25,2020-01-07,Marketing,Junior,2.48,Active,3168 Main Blvd,Springfield,IL,81313,Paul Allen,+17672207397
STU000087,Karen,Walker,karen.walker@university.edu,+12448507338,1999-03-10,2022-11-04,Computer Science,Junior,3.58,Active,4050 Main Blvd,Madison,CA,56176,Andrew Perez,+18583798612
STU000088,George,Walker,george.walker@university.edu,+18463863209,1995-09-16,2025-02-17,Business Administration,Junior,2.4,Active,786 Pine Blvd,Bristol,FL,81176,Steven Taylor,+12379714131
STU000089,Christopher,Thompson,christopher.thompson@university.edu,+19992486438,1998-01-24,2021-05-24,Political Science,Senior,3.78,Graduated,7304 Elm Blvd,Madison,FL,75211,Lisa King,+14732847955
STU000090,Jennifer,Ramirez,jennifer.ramirez@university.edu,+18163849937,1998-04-18,2023-08-08,Psychology,Freshman,2.66,Active,5121 Elm Dr,Madison,PA,68183,Matthew Lewis,+12439446776
STU000091,Michelle,Ramirez,michelle.ramirez@university.edu,+14818541939,1995-11-04,2024-07-21,Political Science,Graduate,3.6,Graduated,2721 Main Ave,Bristol,PA,67432,John Rodriguez,+12684417001
STU000092,Lisa,Harris,lisa.harris@university.edu,+17802333513,2002-08-13,2025-01-16,Political Science,Junior,2.89,Active,9503 Oak Blvd,Georgetown,TX,95139,Sarah Thomas,+13162264048
STU000093,Donna,King,donna.king@university.edu,+15967752929,1997-12-08,2022-12-02,Philosophy,Sophomore,3.99,Active,8147 Oak St,Madison,OH,19706,Donald Lopez,+19306552438
STU000094,Lisa,Lee,lisa.lee@university.edu,+18835552063,2001-03-02,2023-04-04,Physics,Sophomore,3.42,Graduated,2952 Pine Ave,Springfield,NY,28202,Jessica Young,+12265697044
STU000095,Sandra,Scott,sandra.scott@university.edu,+13328262412,1995-09-27,2023-06-20,Art,Senior,3.05,Active,9519 Main Ave,Franklin,PA,19720,Donald Robinson,+18967296644
STU000096,William,Scott,william.scott@university.edu,+18558013981,2003-08-11,2021-06-12,Music,Graduate,3.82,Active,2134 Maple Ave,Franklin,NY,31229,Daniel Anderson,+15547315653
STU000097,Jeffrey,Garcia,jeffrey.garcia@university.edu,+14564015496,1996-05-27,2023-05-25,Marketing,Graduate,2.19,Graduated,2862 Maple Ave,Madison,PA,91851,Timothy Hill,+15457771674
STU000098,Edward,Johnson,edward.johnson@university.edu,+12832465336,2002-04-21,2022-05-13,Communications,Senior,3.24,Active,8259 Maple Blvd,Franklin,FL,42096,Lisa Sanchez,+15046642195
STU000099,George,Brown,george.brown@university.edu,+13616507809,2000-06-06,2025-03-17,English Literature,Junior,3.21,Active,5331 Pine Dr,Madison,OH,58567,Paul Scott,+13085264960
STU000100,Sandra,Davis,sandra.davis@university.edu,+14736605061,1996-07-31,2021-01-31,Business Administration,Junior,3.89,Inactive,6950 Oak Ave,Franklin,IL,50988,Richard Hernandez,+17107278648
STU000101,Donna,Martin,donna.martin@university.edu,+17092232475,2005-08-07,2024-05-29,Nursing,Senior,3.93,Active,9657 Pine St,Springfield,TX,74866,Kenneth Walker,+14927491133
STU000102,Jeffrey,Miller,jeffrey.miller@university.edu,+16413375333,2003-02-27,2024-02-07,Art,Junior,2.09,Active,9443 Maple Ave,Franklin,IL,47827,Robert Harris,+17166615582
STU000103,Edward,Flores,edward.flores@university.edu,+18968252946,1996-06-11,2021-01-31,Art,Junior,3.59,Active,9239 Pine Ave,Madison,IL,76731,Betty Allen,+12412461637
STU000104,William,Perez,william.perez@university.edu,+16857318487,1996-09-02,2025-10-12,Biology,Junior,3.86,Active,2762 Elm Blvd,Bristol,TX,76494,Nancy Allen,+17457015911
STU000105,Steven,Johnson,steven.johnson@university.edu,+15775392795,2005-12-27,2024-09-02,Communications,Junior,3.59,Graduated,536 Maple Dr,Franklin,PA,85821,Joshua Anderson,+19382528871
STU000106,David,King,david.king@university.edu,+18449387229,1996-08-28,2022-09-19,Business Administration,Graduate,3.9,Active,3225 Main Dr,Franklin,FL,29848,Mark Wilson,+16207138726
STU000107,Karen,Brown,karen.brown@university.edu,+19223419498,1997-04-29,2023-08-24,Sociology,Graduate,2.75,Active,7631 Maple Blvd,Bristol,TX,98587,Dorothy Taylor,+18246954150
STU000108,Jessica,Moore,jessica.moore@university.edu,+17715054684,2005-07-23,2023-05-04,Physics,Sophomore,3.38,Active,5294 Elm Blvd,Bristol,OH,45842,Christopher Davis,+17878929899
STU000109,Anthony,Sanchez,anthony.sanchez@university.edu,+15539913399,1998-04-04,2020-06-21,Physics,Freshman,2.69,Active,4301 Elm Ave,Madison,OH,80592,Sarah Scott,+19124783249
STU000110,Michael,Flores,michael.flores@university.edu,+19588004920,1997-09-20,2020-07-26,Nursing,Sophomore,3.28,Active,1741 Elm Blvd,Georgetown,CA,99285,Dorothy Rodriguez,+12057633587
STU000111,Mark,Walker,mark.walker@university.edu,+16888664267,2003-06-24,2023-03-22,Economics,Junior,3.29,Active,9506 Oak St,Madison,FL,33040,Helen Williams,+16067074052
STU000112,Helen,Jackson,helen.jackson@university.edu,+12382095888,2001-05-15,2021-03-15,Economics,Junior,2.91,Graduated,9001 Maple Dr,Madison,OH,76088,Sandra Moore,+13973156417
STU000113,David,Robinson,david.robinson@university.edu,+18634634050,1995-02-27,2023-10-12,Physics,Graduate,3.35,Active,2975 Maple Dr,Georgetown,IL,52982,Jennifer Sanchez,+18852974027
STU000114,William,Walker,william.walker@university.edu,+15314541111,1997-12-04,2024-04-20,History,Senior,3.51,Active,5047 Maple St,Franklin,PA,57127,George Thomas,+12638832936
STU000115,Sandra,Martin,sandra.martin@university.edu,+13636159233,2005-05-09,2023-06-27,Psychology,Junior,2.74,Active,3690 Oak Dr,Madison,FL,89395,Lisa Clark,+19187628714
STU000116,Ronald,Wright,ronald.wright@university.edu,+18804235054,2002-08-18,2020-12-01,Nursing,Senior,3.06,Active,1379 Maple St,Springfield,OH,81781,Betty Allen,+14077869792
STU000117,Elizabeth,Hernandez,elizabeth.hernandez@university.edu,+15357328239,1996-04-21,2022-04-21,Communications,Senior,2.18,Inactive,7398 Main Dr,Madison,IL,64450,Sandra Torres,+12597728575
STU000118,Sarah,Martin,sarah.martin@university.edu,+19402227487,1997-11-08,2020-01-13,English Literature,Graduate,2.15,Active,5744 Main St,Springfield,FL,14159,Christopher Clark,+13849873218
STU000119,Dorothy,Clark,dorothy.clark@university.edu,+15835918348,2004-10-01,2024-03-26,Art,Freshman,3.37,Graduated,8935 Oak Blvd,Springfield,NY,80419,Betty King,+13309454648
STU000120,Nancy,Smith,nancy.smith@university.edu,+19742235888,2000-03-11,2024-10-03,Education,Senior,3.65,Active,7646 Pine Ave,Franklin,NY,24790,John Clark,+18299841256
STU000121,Jessica,Wilson,jessica.wilson@university.edu,+12683031550,2000-01-03,2020-07-18,History,Freshman,2.8,Active,8943 Oak St,Madison,IL,47914,Joseph Torres,+15267916253
STU000122,Jessica,Martin,jessica.martin@university.edu,+13468769540,1997-06-24,2024-08-20,Physics,Junior,2.12,Inactive,2969 Elm Dr,Springfield,TX,94320,Brian Harris,+17375267821
STU000123,Mark,Martinez,mark.martinez@university.edu,+15075854012,2003-06-18,2025-04-23,History,Sophomore,2.6,Graduated,2465 Elm St,Bristol,FL,64592,Ruth King,+13375974978
STU000124,Thomas,Wilson,thomas.wilson@university.edu,+15388622295,2005-05-05,2025-01-16,Political Science,Freshman,3.07,Active,944 Pine Dr,Bristol,IL,15183,Karen Jones,+13929794555
STU000125,Steven,Wilson,steven.wilson@university.edu,+15405101251,1997-05-17,2022-02-17,Psychology,Senior,3.83,Graduated,3450 Elm Ave,Bristol,TX,47101,Anthony Robinson,+17468646886
STU000126,Karen,Taylor,karen.taylor@university.edu,+15687259147,2000-03-23,2021-02-07,Sociology,Junior,3.83,Active,5226 Elm St,Bristol,OH,39002,Deborah Martinez,+12164677841
STU000127,Christopher,Martinez,christopher.martinez@university.edu,+14005374768,1999-04-05,2022-10-03,Sociology,Graduate,3.31,Graduated,5630 Pine Dr,Georgetown,FL,32050,Timothy Thompson,+13733439954
STU000128,Donna,Lopez,donna.lopez@university.edu,+17558571962,2000-11-16,2020-05-18,Engineering,Freshman,3.53,Active,2352 Oak St,Madison,CA,38668,Paul Robinson,+15822618916
STU000129,Brian,Young,brian.young@university.edu,+12162069719,2001-03-09,2024-08-11,Computer Science,Freshman,3.06,Active,8877 Pine St,Bristol,OH,98346,Helen Lopez,+13092989591
STU000130,Elizabeth,Thomas,elizabeth.thomas@university.edu,+13968349625,1997-10-30,2023-12-22,Chemistry,Senior,2.16,Active,7620 Maple Ave,Madison,TX,99658,Edward Garcia,+18698651519
STU000131,Jennifer,Sanchez,jennifer.sanchez@university.edu,+15885868798,1995-08-18,2020-02-08,Mathematics,Freshman,3.0,Active,5527 Maple St,Bristol,CA,40115,Susan Torres,+16864771762
STU000132,Helen,Jones,helen.jones@university.edu,+19004879897,2001-04-27,2020-05-14,Mathematics,Junior,2.03,Active,9717 Oak Dr,Springfield,TX,31292,Joshua Thomas,+17805989856
STU000133,Nancy,Harris,nancy.harris@university.edu,+19739573292,2003-11-12,2020-11-17,Nursing,Junior,2.11,Active,3903 Main Blvd,Bristol,OH,90460,Kenneth Sanchez,+19925341485
STU000134,Kevin,Moore,kevin.moore@university.edu,+16617024737,1998-12-28,2024-03-17,Music,Sophomore,3.36,Graduated,6327 Main Blvd,Madison,PA,19634,Jennifer Moore,+13575893527
STU000135,Deborah,Harris,deborah.harris@university.edu,+15245692745,1996-01-10,2020-01-22,Physics,Senior,2.72,Active,1774 Oak St,Madison,FL,68830,Ruth Scott,+17246172692
STU000136,Mary,Garcia,mary.garcia@university.edu,+15627672524,2001-09-11,2023-08-21,Art,Freshman,2.58,Active,1487 Maple Ave,Bristol,IL,32227,Sarah Harris,+13733425405
STU000137,Karen,Moore,karen.moore@university.edu,+17043492036,1996-11-15,2024-11-15,Chemistry,Senior,2.6,Active,6016 Pine Ave,Georgetown,IL,90828,Richard Robinson,+13093385991
STU000138,James,Sanchez,james.sanchez@university.edu,+15408357224,2004-01-07,2023-09-11,Philosophy,Junior,2.86,Graduated,9838 Oak Blvd,Franklin,IL,36326,Steven Lee,+13816076228
STU000139,Christopher,Young,christopher.young@university.edu,+17894486339,1999-03-21,2023-02-22,Art,Junior,2.23,Inactive,3373 Maple Ave,Bristol,CA,70505,Kimberly Wilson,+16484982133
STU000140,Edward,Clark,edward.clark@university.edu,+18897113280,2002-02-07,2023-05-25,History,Junior,3.32,Graduated,7032 Elm St,Georgetown,IL,72814,Sharon Sanchez,+17477187853
STU000141,Andrew,Williams,andrew.williams@university.edu,+15689189796,2001-08-29,2020-12-14,Psychology,Sophomore,3.32,Active,2825 Maple St,Bristol,PA,98797,Laura Sanchez,+19705398052
